Feature	Gain
rf_009_005	122362.91355141252
ctrx_quarter	54122.26675476879
ctrx_quarter_normalizado	46414.90341503918
edad_x_mcaja_ahorro	26225.936252467334
mcaja_ahorro	20751.402716487646
mcuenta_corriente	14169.742038659751
mtarjeta_visa_consumo	13995.565926745534
rf_008_014	11551.45024125278
cpayroll_trx	10058.581053197384
ctarjeta_visa_transacciones	8754.380176573992
ctarjeta_visa_zscore	8039.17958112061
mcuentas_saldo	6494.731021210551
num_productos_activos	6372.572863996029
cproductos_ratioavg6	5304.968543179333
mpayroll	5174.934469245374
mactivos_margen	4906.426595389843
ctarjeta_visa	4009.1150193810463
ctarjeta_visa_transacciones_ratioavg6	3981.29277388379
ctarjeta_visa_ratioavg6	3769.4680878818035
Visa_msaldototal	3201.3318341597915
edad_x_mpayroll	3101.297585874796
Visa_mpagominimo	3086.78908155486
Visa_Finiciomora	2989.577887840569
cproductos	2832.864550679922
cdescubierto_preacordado_ratioavg6	2819.260890170932
mpasivos_margen	2792.61402823776
mrentabilidad_annual_max6	2603.268727950752
mcuenta_corriente_ratioavg6	2545.038662046194
cdescubierto_preacordado	2466.726838760078
mcuenta_corriente_tend6	2464.7658381201327
Visa_Finiciomora_delta1	2404.0405700057745
ccomisiones_mantenimiento_ratioavg6	2302.6892111450434
ccaja_ahorro	2219.613552555442
edad_sobre_antiguedad	2171.3631671592593
mpayroll_sobre_edad	2111.7380825206637
edad_x_ctarjeta_visa	2077.544437341392
cliente_edad	2064.9325924664736
mactivos_margen_lag1	2059.7486401051283
mactivos_margen_lag2	2006.6484272778034
mpayroll_vs_promedio	2006.359131462872
prop_saldo_caja_ahorro	1844.8305446356535
cdescubierto_preacordado_tend6	1804.1190654188395
mcuentas_saldo_vs_maximo	1777.2155779227614
utilizacion_credito_visa	1760.1728018596768
Visa_Fvencimiento	1726.8140016645193
mcuentas_saldo_ratiomax6	1725.7840540781617
mcomisiones_mantenimiento_ratioavg6	1696.53015011549
ratio_payroll_consumo	1672.786132544279
Master_Finiciomora	1652.7551888749003
Visa_delinquency	1630.9086367338896
mactivos_margen_ratioavg6	1628.8776612654328
Master_fechaalta	1627.164608284831
Visa_mfinanciacion_limite	1620.143628463149
ctarjeta_visa_transacciones_ratiomax6	1597.2540227398276
ctrx_quarter_normalizado_ratioavg6	1550.0480549260974
mrentabilidad_annual	1532.7389650791883
mcaja_ahorro_dolares_ratioavg6	1500.619559634477
cproductos_ratiomax6	1495.311032190919
cliente_antiguedad	1482.8859004378319
mactivos_margen_ratiomax6	1470.945085465908
mactivos_margen_min6	1427.4388207122684
mrentabilidad_annual_lag2	1407.6420929953456
mcuenta_corriente_delta2	1407.1479288935661
Visa_fechaalta	1399.8640620931983
