Feature	Gain
Column_153	230080.59465384483
Column_1737	193606.02363967896
Column_1708	110574.81783103943
Column_1721	90610.33180904388
Column_105	81817.49762403965
Column_1710	73583.44935274124
Column_16	71487.13482797146
Column_14	48546.33807504177
Column_25	41516.146493434906
Column_1443	36006.02566933632
Column_26	27573.955487966537
Column_20	24833.371901154518
Column_24	23539.021211385727
Column_49	23355.400155305862
Column_1457	18836.74001121521
Column_1446	18389.21267223358
Column_19	18388.96755719185
Column_1709	17899.94126677513
Column_1445	17500.592819571495
Column_50	17248.63741660118
Column_154	16170.909482002258
Column_135	15961.594156742096
Column_1444	15959.111633300781
Column_1458	15929.13126051426
Column_145	15274.133618354797
Column_1415	12964.84167599678
Column_31	12698.97990000248
Column_134	11838.937069654465
Column_9	11678.933955192566
Column_1433	10804.135170936584
Column_1259	10340.864294886589
Column_136	9454.509739756584
Column_151	8798.069791674614
Column_169	7608.319362878799
Column_1428	7558.54563832283
Column_8	7155.283494591713
Column_1495	6873.124497413635
Column_804	6636.548934578896
Column_1264	6060.200859069824
Column_1605	6029.56315279007
Column_1494	5991.270879030228
Column_1701	5980.284597635269
Column_15	5945.477239251137
Column_1493	5850.174907207489
Column_1533	5830.560396194458
Column_1392	5550.083488941193
Column_1427	5478.885479569435
Column_171	5464.0012447834015
Column_1436	5459.221264123917
Column_1254	5318.818414092064
Column_62	5150.501539707184
Column_869	5108.499292850494
Column_1423	5084.4355092048645
Column_79	4767.57182097435
Column_175	4509.218994379044
Column_1434	4507.221928834915
Column_1790	4444.965819835663
Column_3	4429.228486537933
Column_125	4380.647912025452
Column_10	4173.176782131195
Column_494	4153.704586982727
Column_130	4150.04548573494
Column_795	4070.6977772712708
Column_733	4062.9987086057663
Column_675	4057.7894303798676
Column_1391	3955.4043629169464
Column_48	3891.6981112957
Column_528	3883.047809958458
Column_771	3869.4875359535217
Column_1663	3849.9236294031143
Column_1416	3843.0746594667435
Column_54	3835.860822081566
Column_1738	3800.6665806770325
Column_23	3751.201646566391
Column_800	3743.393968820572
Column_163	3697.558957695961
Column_1802	3674.65020942688
Column_29	3649.5226304531097
Column_1704	3615.5103673934937
Column_1703	3591.2243300676346
Column_486	3575.1675506830215
Column_1508	3526.1958158016205
Column_1685	3495.7066898345947
Column_824	3430.4256225824356
Column_147	3406.047447681427
Column_506	3381.746657848358
