fecha	iter	num_iterations	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	metrica	metrica_mejor
20251109.203848	1	821	0.4929380336463511	0.23558799663796642	50	16	331389585.2073963	331389585.2073963
20251109.203911	2	293	0.07864082849058271	0.3929018902664834	15	6	364960749.6251874	364960749.6251874
20251109.203914	3	2	0.035258708767967745	0.1761579851866057	23	997	317147196.4017991	364960749.6251874
20251109.204134	4	1156	0.2792755442029088	0.5038486893724738	3	178	362950454.7726137	364960749.6251874
20251109.204136	6	1	0.0040918315526130514	0.27205126106833305	40	50	301786096.95152426	364960749.6251874
20251109.204245	7	1631	0.4848127028155562	0.15332147113782987	17	10	280720599.70014995	364960749.6251874
20251109.204248	8	2	0.11463376395337509	0.285519447020378	151	10	282828765.61719143	364960749.6251874
20251109.204251	9	49	0.41713959962992125	0.9856334524559651	1826	2	309982038.98050976	364960749.6251874
20251109.204259	10	75	0.03723154780761369	0.47488761125356027	321	5	307561799.1004498	364960749.6251874
20251109.204303	11	117	0.010621086104584477	0.7571834840738166	2	2	274649475.2623688	364960749.6251874
20251109.204334	12	274	0.09656896488718952	0.6358033812143916	1	233	367589975.0124937	367589975.0124937
20251109.204434	13	277	0.0933741211610152	0.6718996113473141	1	565	370248075.96201897	370248075.96201897
20251109.204439	14	9	0.11110337182725516	0.672237039521653	1	815	342874202.89855075	370248075.96201897
20251109.204544	15	390	0.01965157854964852	0.7115944628307521	5	387	369227286.3568216	370248075.96201897
20251109.204548	16	13	0.01943007872956212	0.8370460196665409	5	399	344753263.3683158	370248075.96201897
20251109.204611	17	325	0.013493647779867921	0.880284510889755	6	56	357975912.04397804	370248075.96201897
20251109.204617	18	25	0.007042368880551461	0.6405519692487464	1	361	344349625.1874063	370248075.96201897
20251109.204700	19	593	0.02329737439220851	0.7600128169347342	7	100	372502618.6906547	372502618.6906547
20251109.204719	20	137	0.05489933485342515	0.5647514500148345	308	102	374379280.35982007	374379280.35982007
20251109.204731	21	94	0.047899883471592346	0.5910543261811178	355	86	365456921.5392304	374379280.35982007
20251109.204756	22	576	0.045003011612699054	0.7952088066340934	518	24	365661599.2003998	374379280.35982007
20251109.204814	23	127	0.06586865972576586	0.5522434379606689	133	124	369362388.8055972	374379280.35982007
20251109.204931	24	2023	0.1622745678860926	0.9346756985799745	765	32	359462278.8605697	374379280.35982007
20251109.204945	25	170	0.02379113604176448	0.7531730289522369	128	69	359600779.6101949	374379280.35982007
20251109.205014	26	598	0.060200009879717076	0.06099747467756428	9	207	370498970.5147426	374379280.35982007
20251109.205133	27	697	0.02798986643957927	0.422304360936397	8	183	376797521.2393803	376797521.2393803
20251109.205139	28	36	0.027007150176611074	0.4157204591226606	1602	120	324832613.69315344	376797521.2393803
20251109.205312	29	1019	0.013966956548936515	0.4653840343869075	78	34	368068305.8470765	376797521.2393803
20251109.205428	30	811	0.007597646350271826	0.5683133531459897	32	17	354409855.07246375	376797521.2393803
20251109.205450	31	177	0.030240545449019766	0.3547550659313333	62	226	368148995.5022489	376797521.2393803
20251109.205530	32	578	0.05779072039114508	0.20191691321927235	10	163	373617851.0744628	376797521.2393803
20251109.205612	33	520	0.05292977865757508	0.31699100286405607	10	91	379721709.1454273	379721709.1454273
20251109.205643	34	422	0.053520290499409436	0.19160086088951994	15	167	372170914.54272866	379721709.1454273
20251109.205815	35	1260	0.07320212416940994	0.31588093955297536	2	72	368944797.6011994	379721709.1454273
20251109.205910	36	893	0.03840107110074133	0.10482203547825714	11	299	378464797.6011994	379721709.1454273
20251109.210007	37	929	0.03646621652602467	0.10110780978840939	24	306	366420949.5252374	379721709.1454273
20251109.210021	38	69	0.16572744640112372	0.42916525410937123	3	571	348513533.2333833	379721709.1454273
20251109.210035	39	176	0.03778018805363878	0.2410343440191502	41	46	364669395.30234885	379721709.1454273
20251109.210048	40	210	0.1465819149636229	0.1258484483114062	20	138	358587616.19190407	379721709.1454273
20251109.210416	41	1391	0.01524756557411896	0.3471701990042829	11	556	372112423.78810596	379721709.1454273
20251109.210515	42	692	0.0755439118102142	0.20480550060508335	3	293	374976751.6241879	379721709.1454273
20251109.210622	43	783	0.08138659225522535	0.2453400724019408	3	234	375036261.86906546	379721709.1454273
20251109.210901	44	1894	0.08060440842511682	0.24193202219020488	3	255	373456281.8590705	379721709.1454273
20251109.211050	45	959	0.22161922607250129	0.2938985322608325	2	1024	366654402.7986007	379721709.1454273
20251109.211123	46	452	0.13030585719624946	0.1540061147506809	3	287	374107176.4117941	379721709.1454273
20251109.211156	47	751	0.07755330803514601	0.05413631413800571	5	175	366806516.7416292	379721709.1454273
20251109.211427	48	1428	0.031804854449677546	0.22557163689210963	12	476	380564247.876062	380564247.876062
20251109.211811	49	1399	0.030467666795280565	0.32672239118360114	13	718	373906316.8415792	380564247.876062
20251109.211814	50	6	0.03947973355332101	0.3921926715092059	27	402	333942638.68065965	380564247.876062
