Feature	Gain
Column_1710	83759.76207447052
Column_1708	82723.90434074402
Column_1721	68052.92853164673
Column_153	56860.911204338074
Column_1737	54331.30792284012
Column_105	47424.37115526199
Column_16	43457.57073068619
Column_1428	20805.328466415405
Column_25	20469.425008535385
Column_14	20339.369926214218
Column_26	19173.999000549316
Column_1443	18331.179922103882
Column_20	15961.688854694366
Column_1445	14184.643450260162
Column_19	12737.78263759613
Column_1709	11401.118603229523
Column_49	10151.267929792404
Column_1458	10007.793785572052
Column_1457	9884.02352809906
Column_154	8236.881984233856
Column_135	7997.28201842308
Column_1415	7084.497992277145
Column_1446	6694.062950372696
Column_1433	5993.726776599884
Column_1493	5912.150353908539
Column_504	5459.3916001319885
Column_145	5323.153291463852
Column_824	4894.914610385895
Column_50	4888.594053268433
Column_134	4860.39054274559
Column_31	4816.120806217194
Column_151	4536.690021514893
Column_130	4313.755176067352
Column_1496	4220.631911754608
Column_1259	3917.369416475296
Column_1813	3892.2759323120117
Column_1790	3799.5318994522095
Column_8	3723.8638966083527
Column_169	3607.920347929001
Column_136	3354.3601660728455
Column_1605	3263.660158395767
Column_1701	3221.983320236206
Column_24	3179.7278265953064
Column_1664	3164.788125038147
Column_1392	3163.393427848816
Column_1495	3052.493992805481
Column_869	3021.1823346614838
Column_1533	2897.040751695633
Column_23	2824.53018784523
Column_79	2812.7638835906982
Column_15	2785.2012490034103
Column_494	2759.505706548691
Column_1703	2733.386155128479
Column_62	2641.3477189540863
Column_1716	2553.692720890045
Column_10	2552.3498952388763
Column_29	2551.547543525696
Column_9	2545.1325359344482
Column_1449	2514.0660153627396
Column_1254	2498.7725257873535
Column_1663	2487.8560473918915
Column_1416	2393.6314268112183
Column_1423	2392.229682445526
Column_1802	2303.5433435440063
Column_1271	2222.577069759369
Column_1884	2216.593138217926
Column_1444	2149.369044303894
Column_1494	2126.367280483246
Column_1686	2118.245651960373
Column_1265	2108.0739300251007
Column_1434	2108.007513999939
Column_675	2107.076604127884
Column_125	2104.44766998291
Column_526	2081.4756050109863
Column_1784	2070.919779777527
Column_1436	2056.4415814876556
Column_131	2045.491405248642
Column_486	1994.1834173202515
Column_1427	1984.2168316841125
Column_771	1983.201251745224
Column_528	1979.3618576526642
Column_1391	1976.2253165245056
Column_48	1955.975741147995
Column_1255	1952.4489107131958
Column_108	1939.6277928352356
Column_1455	1932.9448113441467
Column_804	1879.3627281188965
Column_54	1877.1628181934357
Column_506	1851.202531337738
Column_3	1849.080311536789
Column_171	1824.887615442276
Column_1230	1784.3826129436493
Column_1704	1767.2382545471191
Column_795	1733.7305965423584
Column_800	1725.7347073554993
Column_733	1695.9153299331665
Column_825	1684.8033828735352
Column_485	1678.3728332519531
Column_1250	1675.2219099998474
Column_818	1646.5070867538452
Column_1431	1616.9498097896576
Column_2	1601.5063138008118
Column_1508	1524.5955393314362
Column_792	1503.4165227413177
Column_503	1482.4879202842712
Column_163	1451.1262726783752
Column_1685	1420.5504961013794
Column_566	1392.732770204544
Column_1140	1391.0659816265106
Column_1535	1378.0888345241547
Column_1507	1355.2890396118164
Column_1296	1349.8545112609863
Column_313	1341.4825675487518
Column_158	1306.209630727768
Column_993	1300.6839208602905
Column_1432	1298.8689646720886
Column_1345	1270.2911732196808
Column_129	1269.986187696457
Column_133	1267.0577323436737
Column_1452	1263.6518404483795
Column_527	1262.9802649021149
Column_83	1260.119137763977
Column_132	1259.8595840930939
Column_1702	1255.3099813461304
Column_1242	1254.4756524562836
Column_832	1248.2716636657715
Column_147	1246.6623077392578
Column_1506	1245.049745798111
Column_751	1236.5095694065094
Column_1501	1226.9005126953125
Column_822	1224.592861175537
Column_1385	1217.178855895996
Column_1536	1190.830587387085
Column_175	1170.767163991928
Column_1435	1170.5982921123505
Column_1503	1168.1287503242493
Column_498	1164.841408252716
Column_1393	1163.7540154457092
Column_847	1151.8226108551025
Column_1505	1146.3501560688019
Column_1738	1141.7518763542175
Column_689	1133.3764350414276
Column_138	1117.1185681819916
Column_1412	1113.0736095905304
Column_1228	1110.6856155395508
Column_111	1103.271638393402
Column_1256	1098.6005499362946
Column_767	1095.5725066661835
Column_1045	1088.1926956176758
Column_1583	1080.2733607292175
Column_1060	1079.774466753006
Column_768	1075.3826942443848
Column_925	1071.8612432479858
Column_819	1066.0949561595917
Column_505	1060.263426542282
Column_785	1058.7802293300629
Column_360	1054.424771308899
Column_919	1047.2833766937256
Column_1347	1045.8178582191467
Column_817	1032.7782108783722
Column_1504	1032.0996901988983
Column_1204	1020.9293911457062
Column_798	1012.4627754688263
Column_70	1011.6730802059174
Column_865	1002.1105513572693
Column_114	994.4909777641296
Column_318	985.6098761558533
Column_1264	976.43669962883
Column_27	971.1306371688843
Column_30	970.6527245044708
Column_823	968.5066125392914
Column_1699	967.4467718601227
Column_676	963.9194226264954
Column_1655	959.9000327587128
Column_1468	956.7711749076843
Column_280	954.7301082611084
Column_1424	950.9622476100922
Column_1152	940.8167037963867
Column_788	936.425612449646
Column_1062	935.5810880661011
Column_1411	925.6192066669464
Column_306	925.224823474884
Column_110	917.2925581932068
Column_1012	913.4987499713898
Column_1612	907.8245244026184
Column_112	906.713641166687
Column_1606	903.7659304141998
Column_4	900.8709645271301
Column_1110	895.4627058506012
Column_1096	894.874861240387
Column_159	891.5448281764984
Column_783	890.6782202720642
Column_1224	890.5182213783264
Column_109	889.0761590003967
Column_851	887.2575006484985
Column_1261	885.411838054657
Column_1369	885.4028887748718
Column_1667	882.122145652771
Column_990	877.5052387714386
Column_314	877.2536544799805
Column_316	873.2590291500092
Column_1229	872.402997970581
Column_1206	871.3765232563019
Column_326	865.0592858791351
Column_868	862.7894868850708
Column_1695	847.945351600647
Column_1553	843.3577718734741
Column_276	840.403745174408
Column_143	834.3255040645599
Column_1108	833.5513467788696
Column_1557	833.500025510788
Column_443	833.0509414672852
Column_457	832.7224850654602
Column_288	830.6791098117828
Column_1294	830.0536525249481
Column_1222	829.2605793476105
Column_1661	827.4212927818298
Column_462	822.9790363311768
Column_6	817.7230379581451
Column_36	815.7211863994598
Column_1174	808.5105302333832
Column_1175	807.9838812351227
Column_113	807.5319075584412
Column_152	807.314028263092
Column_982	805.2227730751038
Column_405	803.5661730766296
Column_1310	799.5363042354584
Column_1151	795.894273519516
Column_1218	795.2407381534576
Column_1311	794.6499557495117
Column_781	794.3009071350098
Column_482	789.9170370101929
Column_752	789.4646062850952
Column_250	786.4298703670502
Column_1585	784.9548816680908
Column_1666	783.7023746967316
Column_1741	783.2837855815887
Column_324	780.4105236530304
Column_786	778.7358827590942
Column_784	776.5133221149445
Column_565	771.2064549922943
Column_421	757.8491015434265
Column_1017	755.3738496303558
Column_1470	754.9918520450592
Column_461	752.7428085803986
Column_805	749.7363619804382
Column_1400	748.9732797145844
Column_493	744.6707668304443
Column_759	743.0948553085327
Column_774	738.4196572303772
Column_787	732.8657565116882
Column_1346	732.438836812973
Column_5	730.8120212554932
Column_945	726.7264897823334
Column_266	726.2993767261505
Column_123	725.6734592914581
Column_870	723.3163096904755
Column_1413	722.0656616687775
Column_1138	718.6499485969543
Column_606	717.1701111793518
Column_837	716.9975588321686
Column_1697	716.3736863136292
Column_1176	715.0295212268829
Column_1645	714.6800203323364
Column_1098	709.8829369544983
Column_986	709.1149003505707
Column_652	704.4677038192749
Column_790	703.0642654895782
Column_1235	696.9914884567261
Column_1258	696.6203119754791
Column_655	694.2508232593536
Column_836	693.3846549987793
Column_1295	686.8785700798035
Column_1387	686.8263506889343
Column_1091	682.4913020133972
Column_1551	680.3897612094879
Column_290	678.3200395107269
Column_95	675.8813724517822
Column_464	674.1458976268768
Column_497	672.0442588329315
Column_604	671.8463406562805
Column_302	667.8127229213715
Column_380	667.1571655273438
Column_875	665.9672975540161
Column_435	665.7364900112152
Column_796	664.3491680622101
Column_1373	661.7374560832977
Column_157	660.7337093353271
Column_1309	660.7014026641846
Column_1109	658.6162514686584
