Feature	Gain
ctrx_quarter_normalizado	166114.92065429688
mcaja_ahorro	41504.64538574219
rf_014_007	41261.040283203125
ctarjeta_visa_transacciones	36581.661838531494
cpayroll_trx	24881.827087402344
rf_002_005	20108.0
mcuenta_corriente	14985.01406288147
mcuentas_saldo	13574.344686508179
mtarjeta_visa_consumo	13362.701965332031
ctarjeta_visa	11691.107929229736
mpayroll_sobre_edad	8373.368850708008
ctarjeta_visa_transacciones_ratiomax6	7889.17201423645
ctarjeta_visa_tend6	7815.75
mcaja_ahorro_lag1	7797.75
mprestamos_personales_ratioavg6	6932.361679077148
mprestamos_personales_ratiomax6	6840.910554885864
cdescubierto_preacordado_tend6	6810.788154602051
ctarjeta_visa_transacciones_ratioavg6	6395.682664871216
cpayroll_trx_ratiomax6	6382.4598388671875
ctarjeta_visa_ratiomax6	6152.739990234375
Visa_mpagominimo	5349.898761749268
cproductos_ratioavg6	5167.148880004883
Visa_Finiciomora_delta1	5121.66695022583
Visa_Finiciomora	5060.612466812134
mprestamos_personales	4651.2517948150635
rf_001_010	4646.3704624176025
mcaja_ahorro_ratioavg6	3998.6141052246094
mpayroll	3925.0432319641113
cdescubierto_preacordado	3557.644386291504
Visa_msaldototal	3424.9881706237793
cdescubierto_preacordado_ratioavg6	3282.6419982910156
cpayroll_trx_ratioavg6	3122.064971923828
ccaja_ahorro	2700.3364753723145
Visa_mpagospesos	2427.9311752319336
ctrx_quarter_ratioavg6	2414.3873329162598
rf_012_002	2332.360107421875
cdescubierto_preacordado_ratiomax6	2245.4729766845703
kmes_tend6	2198.4353981018066
cproductos_delta1	2075.189498901367
ccomisiones_mantenimiento_ratioavg6	1975.4908294677734
ccaja_seguridad	1960.9430885314941
mcaja_ahorro_min6	1714.3364295959473
Master_delinquency	1703.9785766601562
cproductos	1664.212776184082
rf_014_001	1625.0
mpagomiscuentas	1543.966293334961
mtarjeta_master_consumo	1530.290512084961
ctarjeta_visa_avg6	1435.4300537109375
cprestamos_personales_delta2	1423.96337890625
Visa_Finiciomora_ratiomax6	1410.4339599609375
mtransferencias_recibidas	1391.581398010254
mttarjeta_visa_debitos_automaticos_ratiomax6	1374.149326324463
mprestamos_personales_delta2	1372.0435905456543
mpasivos_margen_max6	1350.0699462890625
ctarjeta_master	1316.4312362670898
ctrx_quarter_delta1	1305.455192565918
mpayroll_avg6	1299.8174228668213
cproductos_tend6	1285.9846382141113
Visa_status	1285.4160919189453
cdescubierto_preacordado_delta1	1248.2529945373535
rf_005_004	1193.0917167663574
mactivos_margen	1168.4716968536377
cproductos_delta2	1142.498971939087
ccaja_ahorro_tend6	1127.4154052734375
mpayroll_delta2	1108.617374420166
Master_delinquency_ratiomax6	1094.8980102539062
ctarjeta_master_transacciones_ratiomax6	1087.9755039215088
internet_tend6	976.4713096618652
Master_fechaalta	959.0814056396484
cplazo_fijo	944.1457042694092
internet_max6	937.3796920776367
Visa_fechaalta_delta1	919.0167922973633
mactivos_margen_lag1	903.5761947631836
mpayroll_ratioavg6	862.6760864257812
cplazo_fijo_ratiomax6	840.1570014953613
ctarjeta_master_transacciones	834.2230224609375
mcuentas_saldo_delta2	829.2535171508789
ctrx_quarter_ratiomax6	784.9920043945312
cproductos_ratiomax6	782.0490112304688
ccaja_seguridad_ratiomax6	780.9455871582031
ccheques_emitidos_rechazados_avg6	757.6983985900879
cprestamos_personales_ratioavg6	757.4413070678711
mcuenta_debitos_automaticos	754.0539016723633
mpayroll_sobre_edad_ratioavg6	751.5337028503418
Visa_Finiciomora_ratioavg6	739.8389892578125
ctarjeta_master_ratioavg6	728.7670288085938
Visa_mpagominimo_tend6	723.3510131835938
mcuenta_corriente_tend6	696.3566055297852
cliente_edad	690.6303977966309
cprestamos_personales_ratiomax6	686.7919921875
cdescubierto_preacordado_delta2	680.4276905059814
mcaja_ahorro_dolares_ratioavg6	666.0599937438965
Visa_mpagospesos_tend6	658.7848873138428
Master_mpagominimo	645.3792934417725
Master_mpagospesos	617.8179931640625
mautoservicio	595.1833038330078
ctarjeta_debito_tend6	591.1911945343018
mcomisiones_mantenimiento_ratioavg6	576.5069885253906
tcuentas_lag1	554.0705890655518
mpayroll_delta1	551.636905670166
ctrx_quarter_normalizado_delta1	546.5956115722656
mcaja_ahorro_dolares_ratiomax6	528.9693965911865
mpayroll_sobre_edad_ratiomax6	526.4060134887695
Master_mpagominimo_tend6	524.1519775390625
Visa_delinquency_ratiomax6	521.6339721679688
mcuenta_debitos_automaticos_ratioavg6	506.7553939819336
Master_fultimo_cierre_max6	506.3905944824219
mpayroll_sobre_edad_delta2	503.73320388793945
Visa_fultimo_cierre_max6	503.2786979675293
ccomisiones_mantenimiento_tend6	475.1237106323242
Master_Finiciomora_delta1	467.73729705810547
Master_msaldototal	455.73828506469727
ccuenta_debitos_automaticos_ratioavg6	451.69289207458496
mprestamos_prendarios_min6	446.0492000579834
ccallcenter_transacciones_ratiomax6	440.6470947265625
ccaja_ahorro_delta1	423.4072952270508
Visa_fechaalta	416.2391014099121
ccomisiones_mantenimiento_delta2	413.13800048828125
Visa_fultimo_cierre_delta2	406.90100479125977
thomebanking_ratioavg6	402.2305908203125
mcuentas_saldo_tend6	378.5384979248047
cprestamos_hipotecarios	371.3166980743408
Visa_mpagominimo_avg6	368.42819595336914
internet_avg6	361.5682029724121
mcuenta_corriente_delta2	358.04560470581055
mprestamos_personales_lag2	352.6142044067383
mttarjeta_visa_debitos_automaticos_tend6	348.0147018432617
kmes_lag2	345.73479080200195
tcuentas	327.3720016479492
mprestamos_personales_delta1	318.7884006500244
Visa_msaldopesos_ratioavg6	312.31310272216797
mcuentas_saldo_delta1	310.4558982849121
internet	304.70138931274414
mpayroll_sobre_edad_min6	302.6545944213867
mactivos_margen_lag2	296.75780296325684
ctransferencias_emitidas_max6	295.3737964630127
ctrx_quarter_avg6	294.5469970703125
mtransferencias_emitidas_ratiomax6	293.6786994934082
Master_fultimo_cierre_delta1	292.6390075683594
ctrx_quarter_tend6	289.4679870605469
internet_lag1	288.19859886169434
mpayroll_lag2	286.4196014404297
ccaja_ahorro_ratioavg6	272.3050003051758
mpayroll_sobre_edad_lag2	270.23799324035645
ccuenta_debitos_automaticos_tend6	249.60740280151367
mrentabilidad_annual_max6	246.86660385131836
tmobile_app	245.74658966064453
Visa_Fvencimiento_delta1	241.4850082397461
internet_ratiomax6	238.61810684204102
mttarjeta_visa_debitos_automaticos_ratioavg6	237.47900390625
ccomisiones_mantenimiento_delta1	237.46920013427734
cdescubierto_preacordado_avg6	237.31990814208984
tmobile_app_tend6	233.82970428466797
Visa_fechaalta_delta2	229.00769996643066
Master_fultimo_cierre_delta2	228.28429794311523
ctarjeta_visa_transacciones_tend6	220.95199584960938
Visa_delinquency_ratioavg6	219.7030029296875
ccajas_consultas	219.2708034515381
mrentabilidad_annual_lag2	208.4954013824463
ctarjeta_debito_transacciones_ratiomax6	204.92929077148438
mtransferencias_recibidas_ratioavg6	203.7050018310547
Visa_madelantodolares_ratioavg6	199.01829528808594
cliente_antiguedad_lag1	193.49159622192383
rf_006_011	192.51200103759766
rf_018_011	191.7598934173584
ccheques_emitidos_ratiomax6	190.51740264892578
mcuenta_corriente_lag1	183.7270050048828
cmobile_app_trx_delta2	172.0290069580078
Visa_mpagado_ratiomax6	170.59970092773438
cprestamos_personales_min6	170.5170021057129
thomebanking_ratiomax6	168.32819747924805
ccajas_consultas_ratiomax6	168.11690521240234
ccuenta_debitos_automaticos_delta2	167.20739936828613
Visa_msaldototal_ratioavg6	165.99090194702148
ctarjeta_visa_debitos_automaticos_avg6	161.94829940795898
Master_fultimo_cierre_avg6	160.8699951171875
cmobile_app_trx	159.57570266723633
mtarjeta_master_descuentos_avg6	158.83200073242188
mcuenta_corriente_avg6	157.53099822998047
ctarjeta_visa_transacciones_delta2	156.47970581054688
ccomisiones_mantenimiento_lag2	155.91200256347656
Master_fultimo_cierre_tend6	155.29750442504883
chomebanking_transacciones_delta1	154.2295970916748
Visa_cconsumos_delta2	152.73870277404785
mprestamos_personales_min6	151.95619583129883
mcomisiones_mantenimiento	150.01989936828613
Visa_Finiciomora_tend6	148.27980041503906
mprestamos_personales_tend6	148.18060111999512
Master_mpagominimo_avg6	147.40850067138672
mcomisiones_mantenimiento_ratiomax6	147.2308006286621
ctarjeta_visa_debitos_automaticos_ratiomax6	146.1529998779297
ccallcenter_transacciones	145.6648998260498
mpayroll_tend6	145.59340476989746
mautoservicio_min6	144.7239990234375
minversion2_min6	143.3292999267578
kmes_lag1	142.5260009765625
Visa_fultimo_cierre_delta1	140.18499946594238
tcallcenter_ratiomax6	137.98360061645508
mpayroll_lag1	137.71200561523438
cliente_edad_max6	135.96750259399414
ctarjeta_visa_debitos_automaticos_tend6	135.51619911193848
Master_Fvencimiento_delta1	133.98899841308594
ctransferencias_recibidas_avg6	129.17699432373047
Visa_cadelantosefectivo_max6	127.66740036010742
ctransferencias_recibidas_tend6	127.08800506591797
Master_cconsumos_delta2	126.8954963684082
Visa_mpagominimo_delta1	125.48700141906738
Master_Finiciomora_tend6	121.90200233459473
ccallcenter_transacciones_delta1	121.15899658203125
cprestamos_hipotecarios_max6	120.76659774780273
cprestamos_personales	119.52249908447266
mcuentas_saldo_ratiomax6	118.64200210571289
tmobile_app_avg6	117.58799743652344
mtransferencias_emitidas_avg6	116.89199829101562
Visa_status_max6	115.94039916992188
Visa_mpagominimo_lag1	114.9088020324707
Master_msaldototal_tend6	112.93369674682617
mcaja_ahorro_dolares_delta1	112.87660217285156
Visa_mpagominimo_lag2	112.19400024414062
Master_mpagominimo_delta1	110.4729995727539
Visa_cconsumos_delta1	109.92020225524902
Visa_fechaalta_tend6	109.82799911499023
mcuentas_saldo_ratioavg6	109.6653995513916
mpayroll_sobre_edad_max6	108.08899688720703
chomebanking_transacciones_lag2	105.65429878234863
Visa_cadelantosefectivo_ratioavg6	104.80599975585938
cdescubierto_preacordado_lag2	103.83999633789062
Master_mpagominimo_delta2	102.3010025024414
mprestamos_hipotecarios_ratiomax6	99.4552993774414
cprestamos_hipotecarios_avg6	97.22249984741211
mcuenta_corriente_min6	94.61699867248535
Visa_madelantodolares_delta1	93.74380111694336
rf_008_014	93.51239967346191
Visa_mconsumospesos	92.23369979858398
ctarjeta_visa_debitos_automaticos_lag2	92.07010269165039
Visa_Finiciomora_max6	92.04249572753906
cplazo_fijo_avg6	88.84859848022461
cprestamos_personales_delta1	88.44170379638672
mtransferencias_recibidas_min6	88.43190002441406
mplazo_fijo_dolares_ratioavg6	86.6635971069336
ctrx_quarter_normalizado_ratioavg6	86.62439727783203
cpagomiscuentas_lag2	86.36109924316406
Visa_status_ratiomax6	84.88919830322266
ccajas_consultas_avg6	84.64500045776367
mtransferencias_emitidas_ratioavg6	84.32559967041016
mtarjeta_visa_descuentos_ratioavg6	84.31389999389648
kmes_ratiomax6	83.96389770507812
mcomisiones_ratiomax6	83.91850090026855
minversion1_pesos_min6	83.01530075073242
ctarjeta_visa_debitos_automaticos_max6	82.7219009399414
Visa_Finiciomora_avg6	82.7036018371582
mtransferencias_emitidas_lag1	80.55010223388672
kmes_ratioavg6	79.75299835205078
Visa_fultimo_cierre_tend6	79.14620208740234
Master_mconsumospesos_delta2	79.0973014831543
mcomisiones_otras_ratiomax6	78.91990280151367
cprestamos_personales_lag1	78.8718032836914
Master_msaldopesos_tend6	77.91889953613281
ctarjeta_debito_ratiomax6	77.62559700012207
ccallcenter_transacciones_delta2	77.44619750976562
mpayroll_sobre_edad_tend6	77.35020065307617
cpagomiscuentas_tend6	77.26790046691895
mcaja_ahorro_lag2	76.51410102844238
Visa_Fvencimiento_tend6	76.04869842529297
rf_009_003	75.9010009765625
tmobile_app_lag2	75.75589752197266
cprestamos_personales_avg6	74.3827018737793
mcaja_ahorro_avg6	74.04219818115234
Visa_cconsumos_avg6	73.45000076293945
cliente_edad_avg6	73.35849952697754
cinversion1	73.10660171508789
mtransferencias_emitidas_delta2	70.65519905090332
mcaja_ahorro_adicional_avg6	70.55840301513672
mactivos_margen_min6	70.17520141601562
cextraccion_autoservicio_delta1	70.10130310058594
thomebanking	69.3290023803711
mcaja_ahorro_dolares	68.88930130004883
mtarjeta_visa_consumo_tend6	67.17259979248047
mcuenta_debitos_automaticos_ratiomax6	66.96440124511719
cliente_antiguedad_min6	66.54290008544922
Master_mpagominimo_max6	66.28569793701172
mpayroll_max6	65.89099884033203
Visa_msaldopesos	65.41999816894531
Master_mpagominimo_lag2	65.27400207519531
mpasivos_margen_tend6	65.12120056152344
mactivos_margen_delta1	64.42040252685547
mtarjeta_visa_consumo_min6	63.812198638916016
Visa_mlimitecompra_delta1	63.033599853515625
chomebanking_transacciones_avg6	62.75459861755371
Visa_mpagominimo_min6	61.62810134887695
ctarjeta_debito_ratioavg6	60.72599792480469
mtransferencias_emitidas_tend6	59.24729919433594
Visa_mfinanciacion_limite	58.731698989868164
ccheques_emitidos_rechazados	58.48029899597168
cpayroll_trx_min6	58.1797981262207
Visa_status_tend6	56.820899963378906
Master_msaldopesos	56.64670181274414
mcheques_depositados_max6	56.56610107421875
Visa_msaldototal_ratiomax6	56.34510040283203
ctransferencias_emitidas_lag1	55.843299865722656
mpasivos_margen_lag1	54.238399505615234
mtarjeta_visa_consumo_delta1	54.21960258483887
Master_msaldopesos_ratiomax6	53.80979919433594
mtransferencias_emitidas_max6	53.47949981689453
mprestamos_prendarios_ratioavg6	53.448299407958984
cliente_edad_lag2	53.390201568603516
mcomisiones	53.2942008972168
cforex_buy_avg6	53.01890182495117
Visa_mpagosdolares	52.736698150634766
Master_status	52.56930160522461
cpagomiscuentas	52.051300048828125
mpayroll_min6	51.568199157714844
mtarjeta_visa_consumo_ratioavg6	50.71070098876953
Visa_mconsumospesos_min6	49.855899810791016
mcaja_ahorro_delta1	49.373199462890625
mcuenta_debitos_automaticos_min6	49.30900001525879
Master_fultimo_cierre_ratioavg6	49.186100006103516
mextraccion_autoservicio_avg6	48.94609832763672
mautoservicio_lag1	48.459999084472656
ctrx_quarter_normalizado_tend6	47.94620132446289
Master_mfinanciacion_limite	47.905799865722656
mforex_sell_max6	47.52090072631836
ctarjeta_debito_transacciones_delta1	47.416500091552734
cliente_edad_min6	47.35810089111328
mpayroll_ratiomax6	46.8468017578125
cprestamos_personales_tend6	46.4375
rf_001_005	46.38460159301758
Master_cconsumos	45.74409866333008
ctrx_quarter_lag2	43.98149871826172
Visa_Finiciomora_min6	43.602699279785156
Visa_mconsumototal_min6	43.46160125732422
ccajas_otras_avg6	43.18989944458008
rf_018_013	43.146400451660156
ccajas_consultas_max6	43.058000564575195
Master_fultimo_cierre	43.02630043029785
mtransferencias_recibidas_ratiomax6	42.5177001953125
rf_015_004	42.40679931640625
rf_010_000	42.2987003326416
mcaja_ahorro_tend6	42.19850158691406
Visa_mlimitecompra	41.75960159301758
Master_Finiciomora_max6	41.33769989013672
rf_019_014	40.96419906616211
