fecha	iter	num_iterations	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	metrica	metrica_mejor
20251110.051734	1	821	0.4929380336463511	0.23558799663796642	50	16	343678270.86456776	343678270.86456776
20251110.051944	2	293	0.07864082849058271	0.3929018902664834	15	6	357326271.864068	357326271.864068
20251110.051954	3	2	0.035258708767967745	0.1761579851866057	23	997	332380739.6301849	357326271.864068
20251110.053340	4	1156	0.2792755442029088	0.5038486893724738	3	178	342422218.8905547	357326271.864068
20251110.053348	6	1	0.0040918315526130514	0.27205126106833305	40	50	304958660.66966516	357326271.864068
20251110.054033	7	1631	0.4848127028155562	0.15332147113782987	17	10	322526841.5792104	357326271.864068
20251110.054041	8	2	0.11463376395337509	0.285519447020378	151	10	277664332.83358324	357326271.864068
20251110.054054	9	49	0.41713959962992125	0.9856334524559651	1826	2	309939205.3973013	357326271.864068
20251110.054138	10	75	0.03723154780761369	0.47488761125356027	321	5	308576271.864068	357326271.864068
20251110.054158	11	117	0.010621086104584477	0.7571834840738166	2	2	274065537.2313843	357326271.864068
20251110.054303	12	309	0.09656896488718952	0.06333433578649356	7	24	366606226.88655674	366606226.88655674
20251110.054359	13	262	0.0933741211610152	0.058689489515095616	6	31	367161919.0404798	367161919.0404798
20251110.054408	14	8	0.11110337182725516	0.06358743658566418	1	37	310599425.2873563	367161919.0404798
20251110.054534	15	390	0.01965157854964852	0.06968883665073884	6	33	358104907.54622686	367161919.0404798
20251110.054549	16	14	0.0714374049942652	0.7009833863438466	6	143	342174427.78610694	367161919.0404798
20251110.054850	17	207	0.16997845685313895	0.66243428456269	1	357	343469350.32483757	367161919.0404798
20251110.054904	18	28	0.021452307119728994	0.05771429067643463	6	74	315130889.5552224	367161919.0404798
20251110.055101	19	526	0.058198176999086616	0.963508533051755	154	19	367493008.4957521	367493008.4957521
20251110.055320	20	620	0.05489933485342515	0.9527242684381465	473	19	369360559.7201399	369360559.7201399
20251110.055454	21	631	0.05495170381057344	0.9690448013115863	605	4	355367266.36681664	369360559.7201399
20251110.060152	22	2038	0.024886795880385972	0.8673814205727585	300	21	371875022.4887556	371875022.4887556
20251110.060814	23	2027	0.02243969141311858	0.8813909508179073	231	15	369326861.5692154	371875022.4887556
20251110.061431	24	2036	0.014098739840449891	0.8565177747949405	1304	9	365307221.38930535	371875022.4887556
20251110.062202	25	1099	0.0071521360530788815	0.8590544418610488	128	68	370610109.9450275	371875022.4887556
20251110.062807	26	874	0.0055357474687809435	0.8283865610920105	102	68	361737866.06696653	371875022.4887556
20251110.063021	27	161	0.006481002980911412	0.6399769763667149	626	298	334345067.4662669	371875022.4887556
20251110.063812	28	1108	0.008585873657334304	0.7747572846480764	479	75	371422468.7656172	371875022.4887556
20251110.064900	29	1169	0.009512781460827976	0.5927621057153492	1331	63	370587111.4442779	371875022.4887556
20251110.070222	30	998	0.00755281494860298	0.7486122758320144	62	275	375706761.6191904	375706761.6191904
20251110.070412	31	85	0.014826371225915536	0.7694653911480717	62	677	355140034.9825088	375706761.6191904
20251110.071518	32	846	0.007174731790177881	0.792478705391492	44	269	374155932.033983	375706761.6191904
20251110.072127	33	455	0.003960797555769092	0.7725911089381434	38	284	361035437.2813593	375706761.6191904
20251110.073239	34	910	0.008870545735203171	0.5915794215337268	86	176	374407296.35182405	375706761.6191904
20251110.074627	35	739	0.013916297010362632	0.5800030955875614	80	444	376752013.9930035	376752013.9930035
20251110.074939	36	166	0.01385421773138883	0.5569510250978783	26	514	365254322.8385807	376752013.9930035
20251110.075658	37	657	0.005136372373334051	0.6996895981421172	80	199	368500044.9775112	376752013.9930035
20251110.080442	38	361	0.010755721278694867	0.45227954321080294	12	838	371512258.8705647	376752013.9930035
20251110.081843	39	801	0.007800064043493304	0.5954941549058421	44	426	375650539.73013496	376752013.9930035
20251110.083820	40	1290	0.01721504795668993	0.4017295513417205	27	472	378266731.63418293	378266731.63418293
20251110.083832	41	5	0.02944928464183089	0.3998748425488198	21	477	338730499.75012493	378266731.63418293
20251110.090052	42	1273	0.016486678902245443	0.5291141397970438	12	460	376874567.71614194	378266731.63418293
20251110.092048	43	1373	0.01702459234113836	0.3524785671983297	10	517	376398935.5322339	378266731.63418293
20251110.094805	44	1466	0.016801307536298195	0.30195277877779575	11	992	377780399.80009997	378266731.63418293
20251110.101305	45	1252	0.016980426354860252	0.32710409520931333	12	1024	374146156.92153925	378266731.63418293
20251110.103202	46	1491	0.032888026616230304	0.2272840312390512	3	680	380275392.3038481	380275392.3038481
20251110.105132	47	1509	0.03286489192500859	0.2362272171207796	2	668	378109650.1749126	380275392.3038481
20251110.111158	48	1499	0.03413511636650286	0.21852502504361077	3	800	376900129.9350325	380275392.3038481
20251110.113052	49	1598	0.03481435023802505	0.18970543850588462	2	705	377648180.90954524	380275392.3038481
20251110.113347	50	280	0.03798695782743553	0.1370444392356993	2	663	370712603.69815093	380275392.3038481
