Feature	Gain
ctrx_quarter_normalizado	748412.8468339443
rf_014_007	452451.2380461693
ctrx_quarter	184994.86107254028
mcaja_ahorro	170116.04967737198
rf_001_005	139471.19202780724
ctarjeta_visa_ratioavg6	97679.49471402168
ctarjeta_visa_transacciones	78675.50073671341
mtarjeta_visa_consumo	77495.76265192032
mcuenta_corriente	66491.11574912071
cpayroll_trx	61471.8806180954
rf_002_005	60992.17754864693
mcuentas_saldo	56085.49502003193
ctarjeta_visa	49596.22743678093
ctarjeta_visa_transacciones_ratioavg6	45064.10511684418
mpayroll	44525.57682001591
ctarjeta_visa_transacciones_ratiomax6	38969.64278495312
mprestamos_personales_ratiomax6	36020.54502558708
cdescubierto_preacordado_tend6	34093.27324271202
cdescubierto_preacordado	33617.801921486855
mpayroll_sobre_edad	32909.736248254776
mprestamos_personales_ratioavg6	32223.129917025566
cproductos_ratioavg6	27471.70086789131
Visa_Finiciomora	27089.334473371506
mprestamos_personales	26925.359999656677
Visa_mpagospesos	26654.77041244507
Visa_msaldototal	23901.01669740677
rf_001_010	22915.88194489479
mcaja_ahorro_ratioavg6	22196.208732128143
mcaja_ahorro_lag1	21333.025599479675
Visa_mpagominimo	20500.227012515068
mactivos_margen	18089.978422045708
cdescubierto_preacordado_ratioavg6	17742.621626853943
ctarjeta_visa_ratiomax6	17479.89431810379
Visa_Finiciomora_delta1	16455.578637599945
mpayroll_ratioavg6	15081.683601379395
mcuenta_corriente_tend6	14670.426447629929
ccaja_ahorro	13605.992039084435
mcuentas_saldo_ratiomax6	13483.95290851593
Visa_msaldopesos	13133.347663879395
ctrx_quarter_delta1	12988.902975559235
mcuenta_corriente_ratioavg6	12324.893832325935
mcaja_ahorro_ratiomax6	11900.859731316566
mcuenta_corriente_delta2	11685.249079346657
mpasivos_margen	11645.106882691383
ccomisiones_mantenimiento_ratioavg6	11408.723014235497
ctrx_quarter_ratioavg6	11397.431554436684
cliente_edad	10897.75171470642
ctrx_quarter_normalizado_ratioavg6	10849.599267482758
