foto_mes,column,mean_before,mean_after,median_before,median_after,multiplier,change_pct,count
201901,mrentabilidad,3697.1062482598795,9955.261019838043,1832.16,4933.488465118181,2.6927170471564605,169.27170471564605,124273
201902,mrentabilidad,2919.2695908326086,7572.993249017757,1584.64,4110.777593069378,2.594139737144953,159.41397371449528,125401
201903,mrentabilidad,3317.3840181952414,8219.443844288318,1890.19,4683.301804922653,2.4776883831374903,147.768838313749,125967
201904,mrentabilidad,3625.5993443076386,8687.722802032822,1961.585,4700.383333691252,2.3962170049685594,139.6217004968559,126538
201906,mrentabilidad,3544.3131144841304,8021.011124337314,1952.25,4418.0687376337155,2.2630650468094324,126.30650468094326,128734
201907,mrentabilidad,3348.5961814873954,7414.961814289296,1730.7849999999999,3832.5626585538785,2.2143493608702864,121.43493608702865,130268
201908,mrentabilidad,3051.3095752328913,6496.793661283017,1455.32,3098.641261405524,2.1291820777598907,112.91820777598906,132143
201909,mrentabilidad,2705.8505672974125,5440.272457966084,1297.68,2609.0623216878707,2.010559091369113,101.0559091369113,133757
201911,mrentabilidad,2287.039523391982,4267.817911208391,1168.3649999999998,2180.2723664493324,1.8660883939944564,86.60883939944564,137996
201912,mrentabilidad,2257.1721767395343,4061.796337763595,1281.835,2306.6706041618936,1.7995066480177977,79.95066480177975,139980
202001,mrentabilidad,2999.911279484749,5276.989531668019,1303.275,2292.5239752643165,1.7590485317867035,75.90485317867035,143464
202002,mrentabilidad,2171.431390835947,3744.7580391426795,1113.44,1920.1911737574387,1.724557384104612,72.4557384104612,146660
202003,mrentabilidad,2085.048027661662,3480.9147844304707,1172.61,1957.631398039602,1.6694650378553841,66.9465037855384,148798
202004,mrentabilidad,1991.4620417810513,3275.543106373954,1172.0349999999999,1927.7551287121528,1.6447931407442207,64.47931407442206,149350
202005,mrentabilidad,1765.1687324924399,2860.4309590736316,1080.42,1750.8053252442082,1.6204858529499715,62.04858529499716,150792
202007,mrentabilidad,2139.1840236411504,3328.6513649342355,1260.49,1961.370182563495,1.5560378761937776,55.60378761937776,154984
202008,mrentabilidad,2275.9995220534192,3448.433751230824,1162.36,1761.1257894572539,1.5151293828566483,51.512938285664845,156461
202009,mrentabilidad,2132.5444839517127,3143.074715840572,1042.03,1535.8076564378534,1.4738612673702804,47.38612673702805,157805
202010,mrentabilidad,1922.4604018998673,2729.7109098394194,989.73,1405.322458722917,1.4199048818596152,41.99048818596152,159169
202011,mrentabilidad,1866.7712590327612,2568.4473100928662,1001.87,1378.449713167338,1.375876823507379,37.58768235073791,160250
202012,mrentabilidad,2093.938585625819,2770.1938171253714,1156.16,1529.5516810252802,1.3229584841417108,32.295848414171076,160997
202101,mrentabilidad,2392.345412779288,3043.2439046479435,1094.09,1391.7650460717346,1.2720754655208755,27.207546552087543,161527
202102,mrentabilidad,1795.2859029940491,2204.3814196855405,952.46,1169.4990327123678,1.2278720709660957,22.78720709660958,162155
202103,mrentabilidad,2443.4709429890445,2862.8527930471723,1247.72,1461.8707446429553,1.1716336555019997,17.163365550199963,163109
202104,mrentabilidad,1920.7792336217553,2161.815172815165,1126.795,1268.19495182649,1.1254886219999998,12.548862199999983,163418
202105,mrentabilidad,2075.065040538809,2260.8539138784113,1221.97,1331.37786198,1.0895340000000002,8.953400000000016,163917
202106,mrentabilidad,2295.674334714843,2423.658178875195,1362.76,1438.73387,1.0557499999999997,5.574999999999976,164313
202107,mrentabilidad,2844.978216603077,2916.1026720181535,1708.045,1750.746125,1.025,2.4999999999999916,164596
202108,mrentabilidad,3137.5718736576428,3137.5718736576428,1863.54,1863.54,1.0,0.0,164822
201901,mcuentas_saldo,164872.94151223515,443956.1802248257,19981.21,53803.744789813136,2.6927170471564605,169.27170471564608,124273
201902,mcuentas_saldo,180558.06151808996,468392.84224594006,18938.8,49129.89365384082,2.5941397371449524,159.41397371449526,125401
201903,mcuentas_saldo,190816.63441925266,472784.1584099757,18303.55,45350.49320517621,2.4776883831374903,147.76883831374906,125967
201904,mcuentas_saldo,190906.4912052506,457453.3805849022,17611.495,42200.963801918755,2.396217004968559,139.6217004968559,126538
201906,mcuentas_saldo,195074.17385546942,441465.5443875394,28127.660000000003,63654.72419453981,2.263065046809433,126.3065046809433,128734
201907,mcuentas_saldo,203312.54280690575,450204.9992213845,23942.559999999998,53017.19243359848,2.2143493608702864,121.43493608702865,130268
201908,mcuentas_saldo,191117.8482872343,406924.6973132131,20175.11,42956.48262883435,2.1291820777598907,112.91820777598909,132143
201909,mcuentas_saldo,169146.58094410013,340079.19609116204,19974.43,40159.77183141595,2.010559091369113,101.05590913691127,133757
201911,mcuentas_saldo,154635.5604706658,288563.62469313736,20892.489999999998,38987.23311064523,1.8660883939944561,86.60883939944561,137996
201912,mcuentas_saldo,171690.86904522075,308958.86025082786,30151.54,54257.89667797455,1.7995066480177977,79.95066480177977,139980
202001,mcuentas_saldo,167228.81591528188,294163.60310820554,27206.184999999998,47856.999779767444,1.7590485317867037,75.90485317867036,143464
202002,mcuentas_saldo,166402.7247761489,286971.047747835,23857.785000000003,41144.11929013024,1.7245573841046116,72.45573841046115,146660
202003,mcuentas_saldo,175993.61547292303,293815.18791780935,27260.39,45510.26802330253,1.6694650378553841,66.9465037855384,148798
202004,mcuentas_saldo,177486.0508953465,291927.8390904456,29915.705,49205.146384527594,1.644793140744221,64.47931407442208,149350
202005,mcuentas_saldo,177161.38705919412,287087.5214184182,32764.010000000002,53093.614690911396,1.6204858529499715,62.04858529499714,150792
202007,mcuentas_saldo,189226.0945178857,294442.97023405397,41074.235,63913.06539568414,1.5560378761937779,55.6037876193778,154984
202008,mcuentas_saldo,185552.72968790945,281136.3928194088,37695.89,57114.15055193211,1.5151293828566486,51.512938285664866,156461
202009,mcuentas_saldo,174080.4936572352,256570.4970060968,32847.46,48412.5990254946,1.4738612673702807,47.38612673702807,157805
202010,mcuentas_saldo,162756.0342726913,231098.0876159052,28748.34,40819.90831136005,1.4199048818596152,41.990488185961524,159169
202011,mcuentas_saldo,167037.10922053043,229822.48724219855,27441.184999999998,37755.690451078335,1.375876823507379,37.58768235073791,160250
202012,mcuentas_saldo,200861.8190650136,265731.847672197,41926.59,55467.137951631,1.3229584841417108,32.295848414171076,160997
202101,mcuentas_saldo,200890.21435332793,255547.51294209808,36231.27,46088.90965166253,1.2720754655208755,27.207546552087546,161527
